family,effect,replicate,seed,stream_type,evaluation,method,alarm_time,false_alarm,conditional_eligible,post_change_detected,censored,run_length_units,run_length_cycles,restricted_delay_units,time_unit_cycles,restricted_delay_cycles,restriction_horizon_units,restriction_horizon_cycles,threshold
spatial,0.55,20,60000020,no_change,null_arl,exact one-cycle likelihood grid SR,237,True,True,False,False,237,237,,1,,1000,1000,200.0
spatial,0.55,20,60000020,no_change,null_arl,known-post one-cycle likelihood SR,237,True,True,False,False,237,237,,1,,1000,1000,200.0
spatial,0.55,20,60000020,no_change,null_arl,validation-trained linear logistic effect,216,True,True,False,False,216,216,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,raw symmetry-resolved AOC,157,True,True,False,False,157,157,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,vAOC / same-feature Hotelling,190,True,True,False,False,190,190,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,matched correlation witness,183,True,True,False,False,183,183,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,exact one-cycle likelihood grid SR,165,True,True,False,False,165,165,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,known-post one-cycle likelihood SR,165,True,True,False,False,165,165,,1,,1000,1000,200.0
spatial,0.55,21,60000021,no_change,null_arl,validation-trained linear logistic effect,197,True,True,False,False,197,197,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,raw symmetry-resolved AOC,188,True,True,False,False,188,188,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,vAOC / same-feature Hotelling,192,True,True,False,False,192,192,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,matched correlation witness,185,True,True,False,False,185,185,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,exact one-cycle likelihood grid SR,121,True,True,False,False,121,121,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,known-post one-cycle likelihood SR,121,True,True,False,False,121,121,,1,,1000,1000,200.0
spatial,0.55,22,60000022,no_change,null_arl,validation-trained linear logistic effect,192,True,True,False,False,192,192,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,raw symmetry-resolved AOC,181,True,True,False,False,181,181,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,vAOC / same-feature Hotelling,201,True,True,False,False,201,201,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,matched correlation witness,194,True,True,False,False,194,194,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,exact one-cycle likelihood grid SR,208,True,True,False,False,208,208,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,known-post one-cycle likelihood SR,208,True,True,False,False,208,208,,1,,1000,1000,200.0
spatial,0.55,23,60000023,no_change,null_arl,validation-trained linear logistic effect,192,True,True,False,False,192,192,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,raw symmetry-resolved AOC,212,True,True,False,False,212,212,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,vAOC / same-feature Hotelling,202,True,True,False,False,202,202,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,matched correlation witness,201,True,True,False,False,201,201,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,exact one-cycle likelihood grid SR,185,True,True,False,False,185,185,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,known-post one-cycle likelihood SR,185,True,True,False,False,185,185,,1,,1000,1000,200.0
spatial,0.55,24,60000024,no_change,null_arl,validation-trained linear logistic effect,201,True,True,False,False,201,201,,1,,1000,1000,200.0
spatial,0.55,25,60000025,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,25,60000025,no_change,null_arl,raw symmetry-resolved AOC,129,True,True,False,False,129,129,,1,,1000,1000,200.0
