family,dimension,seed,strength,commutator,offdiagonal_residual,deca_success,pgm_success,oracle_success,oracle_gap,gap_bound,bound_slack,jacobi_sweeps
noncommuting_sweep,4,3,0.0,2.075305700849342e-17,1.377974889941755e-16,0.7533435025161378,0.6453198636059485,0.7533435021742669,-3.41870864950522e-10,2.75594977988351e-16,3.4187114054549996e-10,1
noncommuting_sweep,4,3,0.125,0.005908520752557882,0.028487607568620035,0.7511052458417857,0.6409700776456745,0.7511052447171911,-1.1245946396343243e-09,0.05697521513724007,0.05697521626183471,3
noncommuting_sweep,4,3,0.25,0.009378650734482585,0.05013346839517623,0.746931780148668,0.6296304638740676,0.7469317789617469,-1.1869211169468485e-09,0.10026693679035246,0.10026693797727358,4
noncommuting_sweep,4,3,0.375,0.0130734593795273,0.07494227562264268,0.7410859555195288,0.6144552308943176,0.7410859529301322,-2.589396586039072e-09,0.14988455124528535,0.14988455383468194,4
noncommuting_sweep,4,3,0.5,0.020633649722621952,0.0936008380896442,0.7313785011356767,0.5972737520225764,0.7313784957590208,-5.376655898281513e-09,0.1872016761792884,0.1872016815559443,5
noncommuting_sweep,4,3,0.625,0.03139859455267472,0.11183571427400937,0.7135541379242734,0.5768166857732568,0.7135541350688053,-2.8554680842063362e-09,0.22367142854801875,0.22367143140348683,6
noncommuting_sweep,4,3,0.75,0.04163804561691283,0.15117857464148501,0.6845801640867726,0.5511914707712879,0.6845801613197048,-2.7670677971158852e-09,0.30235714928297003,0.3023571520500378,6
noncommuting_sweep,4,3,0.875,0.047617329581096636,0.18929054531790587,0.6469646667318312,0.5232080509564828,0.6469646588878121,-7.84401910092214e-09,0.37858109063581175,0.37858109847983085,8
noncommuting_sweep,4,3,1.0,0.04831796108009031,0.21325977298003188,0.6119090928036682,0.5012822692243025,0.6119090867165524,-6.087115811403976e-09,0.42651954596006375,0.42651955204717956,7
noncommuting_sweep,4,4,0.0,5.123775042277915e-18,1.3030057111063703e-16,0.6812798871559341,0.5649221091232038,0.6812798825241154,-4.631818706357649e-09,2.6060114222127407e-16,4.631818966958791e-09,1
noncommuting_sweep,4,4,0.125,0.010007594793626205,0.04876937654630275,0.6733232765314283,0.5595014440519352,0.6733232598210793,-1.671034899342061e-08,0.0975387530926055,0.09753876980295449,6
noncommuting_sweep,4,4,0.25,0.018456861734911515,0.0825585356916804,0.6524587033724758,0.5466744772740777,0.6524586958214653,-7.551010483553e-09,0.1651170713833608,0.16511707893437128,6
noncommuting_sweep,4,4,0.375,0.02502123766843641,0.11965352910308363,0.6256846754790005,0.5329080155588862,0.6256846579047344,-1.757426615345281e-08,0.23930705820616727,0.23930707578043342,10
noncommuting_sweep,4,4,0.5,0.029428854682404772,0.12752029212058738,0.6019122124267685,0.5221638360007977,0.602418283851005,0.0005060714242365316,0.25504058424117476,0.25453451281693823,12
noncommuting_sweep,4,4,0.625,0.031234702999183902,0.1441670564661475,0.5869314897348494,0.5138409604009673,0.5872856508165243,0.00035416108167485305,0.288334112932295,0.28797995185062014,17
noncommuting_sweep,4,4,0.75,0.03085565269528843,0.15504416198543755,0.5727257518805076,0.5057891034244554,0.5728398608636768,0.00011410898316921436,0.3100883239708751,0.3099742149877059,16
noncommuting_sweep,4,4,0.875,0.02993732410682073,0.1600180904100198,0.5580108047263534,0.4981660620225623,0.5590553515548995,0.0010445468285460446,0.3200361808200396,0.31899163399149355,22
noncommuting_sweep,4,4,1.0,0.029652356704352505,0.17171478091857115,0.5623181743034493,0.49374055872795664,0.562352931002121,3.4756698671700725e-05,0.3434295618371423,0.3433948051384706,8
noncommuting_sweep,4,5,0.0,9.55878868923501e-18,1.5744594458359106e-16,0.49046355472410297,0.39628667499668313,0.49046355354583177,-1.1782712028285403e-09,3.148918891671821e-16,1.1782715177204295e-09,1
noncommuting_sweep,4,5,0.125,0.0030738238313685095,0.02891406034264993,0.4884217105200742,0.39605491736863885,0.4884758359930672,5.4125472992994084e-05,0.05782812068529986,0.05777399521230687,5
noncommuting_sweep,4,5,0.25,0.005589580736252929,0.05350243473062315,0.4819252560614069,0.3947718129573604,0.4856658904958571,0.0037406344344502185,0.1070048694612463,0.10326423502679608,6
noncommuting_sweep,4,5,0.375,0.006872330786219293,0.06313742101502999,0.48496230617310887,0.392224234591911,0.48496230500788906,-1.1652198095291055e-09,0.12627484203005998,0.1262748431952798,6
noncommuting_sweep,4,5,0.5,0.007106273373904353,0.06963183421777266,0.48371313455327264,0.38926242270351397,0.4837131219159274,-1.2637345225829932e-08,0.13926366843554533,0.13926368107289055,6
noncommuting_sweep,4,5,0.625,0.00769154523248473,0.07655420696625574,0.47887530721258653,0.3875008761187252,0.47887529751146973,-9.701116798765952e-09,0.15310841393251148,0.15310842363362828,6
noncommuting_sweep,4,5,0.75,0.009391753731924024,0.08918473960407826,0.4737746754645213,0.38848226831229515,0.47377466810834923,-7.356172060379862e-09,0.17836947920815652,0.17836948656432858,7
noncommuting_sweep,4,5,0.875,0.01092104796285495,0.09947997232718744,0.4751893221574711,0.3925503442199114,0.4751893129880924,-9.169378700768505e-09,0.1989599446543749,0.1989599538237536,10
noncommuting_sweep,4,5,1.0,0.011025253477505435,0.08008004451124723,0.4864174750435921,0.3983155976594079,0.48641747148757314,-3.5560189792782637e-09,0.16016008902249446,0.16016009257851344,9
