dataset,method,accuracy,fit_seconds,predict_microseconds,jacobi_sweeps,jacobi_objective_gain,offdiagonal_residual
iris,Spectral-DECA-amplitude,0.52,0.00532659050077195,7.907250740875801,15.5,0.042445222101834046,0.23463121541533974
letter,Hist-gradient-boosting,0.9428000000000001,14.60379003349226,25.764375386643223,,,
letter,LDA-shrinkage,0.7012,0.06127467943588265,0.31326925090979785,,,
letter,Logistic,0.77285,1.8336134410346858,1.4497017546091229,,,
letter,PGM-affine,0.616525,0.33958388201426715,17.83663388050627,,,
letter,PVM-DECA-amplitude,0.311075,0.4181143675232306,14.060461253393441,20.0,0.08162576904199556,0.07227855341232081
letter,QDA,0.848625,0.0212598485522903,1.8592841224744918,,,
letter,Random-forest,0.9657500000000001,0.5515200555091724,22.343480377458036,,,
letter,SVM-RBF,0.971275,0.9644781520473771,221.4036983787082,,,
letter,SVM-polynomial-2,0.9358000000000001,0.8117064625257626,140.29847912024707,,,
letter,Spectral-DECA-affine,0.3549,0.4971835340256803,17.532344631035812,20.0,0.09543284848433384,0.12162008821116616
letter,Spectral-DECA-amplitude,0.33275,0.38569742895197123,15.901820515864529,20.0,0.08162576904199556,0.07227855341232081
spambase,Hist-gradient-boosting,0.9504452863144974,3.4567527710460126,1.9051527488045394,,,
spambase,LDA-shrinkage,0.8816545106925364,0.00909763702657065,0.6344646428023344,,,
spambase,Logistic,0.9256689326346599,0.01129216048866505,0.7396032426344312,,,
spambase,PGM-affine,0.8538346787518293,0.06983169552404425,14.922859238298692,,,
spambase,PVM-DECA-amplitude,0.8663337345984988,0.0670401969691738,16.869094890425885,,,
spambase,QDA,0.7613563942784308,0.344491588533856,13.087271161013,,,
spambase,Random-forest,0.9537059198413822,0.430200960021466,61.266925489610955,,,
spambase,SVM-RBF,0.9332742057310106,0.14846056245733044,32.08405807685188,,,
spambase,SVM-polynomial-2,0.934904876551952,0.1294103765394538,18.05875540214955,,,
spambase,Spectral-DECA-affine,0.6141055327385168,0.0703877789783291,19.677823887753263,,,
spambase,Spectral-DECA-amplitude,0.8579672378794317,0.0714664594852365,20.572183711919934,,,
synthetic_covariance,Hist-gradient-boosting,0.8234999999999999,0.857910601014737,2.6809150585904717,,,
synthetic_covariance,LDA-shrinkage,0.4955,0.0023676970158703,0.6017299892846495,,,
synthetic_covariance,Logistic,0.49574999999999997,0.0018650479614734,0.6249388388823718,,,
synthetic_covariance,PGM-affine,0.75925,0.0040969980182125505,2.3367175890598446,,,
synthetic_covariance,PVM-DECA-amplitude,0.62275,0.0041186175658367505,2.4079912691377103,,,
synthetic_covariance,QDA,0.8230000000000001,0.0011717550223692501,0.6839462730567902,,,
synthetic_covariance,Random-forest,0.8240000000000001,0.34930668002925813,115.45280372956768,,,
synthetic_covariance,SVM-RBF,0.75875,0.0399810100207105,17.058317607734352,,,
synthetic_covariance,SVM-polynomial-2,0.7689999999999999,0.0305373320006765,12.322059919824824,,,
synthetic_covariance,Spectral-DECA-affine,0.647,0.0041205685120075,2.1643462241627276,,,
synthetic_covariance,Spectral-DECA-amplitude,0.78625,0.0038255459512583504,1.7975950322579592,,,
synthetic_mean,Hist-gradient-boosting,0.821,0.5326853510341607,2.405958657618612,,,
synthetic_mean,LDA-shrinkage,0.82825,0.00195381650701165,0.45267108362168074,,,
synthetic_mean,Logistic,0.8252499999999999,0.00179142749402665,0.5534148658625782,,,
synthetic_mean,PGM-affine,0.8255000000000001,0.0027230664854869004,1.679834967944771,,,
synthetic_mean,PVM-DECA-amplitude,0.50225,0.00420149846468115,2.313169970875606,,,
synthetic_mean,QDA,0.8220000000000001,0.0009521659230813,0.5485888686962426,,,
synthetic_mean,Random-forest,0.82825,0.30019649950554594,101.12083997228183,,,
synthetic_mean,SVM-RBF,0.7755,0.036649756482802304,18.15544004784897,,,
synthetic_mean,SVM-polynomial-2,0.819,0.01969514298252755,8.234058623202145,,,
synthetic_mean,Spectral-DECA-affine,0.825,0.0029620425193570502,1.595367502886802,,,
synthetic_mean,Spectral-DECA-amplitude,0.50975,0.0038487970014102002,1.9211899780202657,,,
wine,Hist-gradient-boosting,0.9633333333333333,0.885805424535647,56.94284558384901,,,
wine,LDA-shrinkage,0.9802380952380952,0.0017027845024130501,4.262102413035574,,,
wine,Logistic,0.9804761904761905,0.0018706060363911001,4.904557551656451,,,
wine,PGM-affine,0.9803174603174604,0.0012035150430165001,7.301666829291554,,,
wine,PVM-DECA-amplitude,0.7864285714285715,0.04850188898853955,9.777195777537093,20.0,0.13792354617967778,0.23231315627298793
wine,QDA,0.9972222222222221,0.00066262693144375,4.774812629283776,,,
wine,Random-forest,0.9803174603174604,0.25214067945489654,742.4929622738134,,,
wine,SVM-RBF,0.9776984126984127,0.0008654245175420999,6.221681057165066,,,
wine,SVM-polynomial-2,0.9634920634920634,0.0007946760160848,5.080791500707468,,,
wine,Spectral-DECA-affine,0.9209523809523809,0.0550224725157022,9.813096969284945,20.0,0.2535936646661431,0.29766868378013867
wine,Spectral-DECA-amplitude,0.7753174603174603,0.037237780983559746,8.711764276663343,20.0,0.13792354617967778,0.23231315627298793
