scenario,effect,method_id,method_label,feature_family,estimator,feature_dimension,train_windows,validation_windows,test_windows,fixed_parameters,fit_seconds,validation_score_seconds,test_score_seconds,validation_threshold,validation_roc_auc,validation_balanced_accuracy,test_roc_auc,test_balanced_accuracy,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_true_negative_rate,test_true_positive_rate
temporal,0.5,symmetry_fourier::simplex_positive_support_projector,D4 Fourier / pair lift · Simplex indicator positive-support projector,symmetry_fourier,simplex_positive_support_projector,36,1600,800,2000,"{""indicator_effect"": true, ""positive_support_size"": 19, ""simplex_operator_interpretation"": true}",0.000183843076229,3.01810214296e-05,5.92690194026e-05,0.725856767646,0.5292375,0.5475,0.5079,0.5055,599,401,588,412,0.599,0.412
temporal,0.5,symmetry_fourier::regularized_hotelling,D4 Fourier / pair lift · Regularized Hotelling,symmetry_fourier,regularized_hotelling,36,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 9.101648622194275e-07, ""ridge_fraction"": 0.05}",0.000591550022364,2.24569812417e-05,5.47339441255e-05,0.000971029436476,0.68478125,0.6425,0.652929,0.605,557,443,347,653,0.557,0.653
temporal,0.5,raw_binary_window::rbf_hamming_mmd_witness,Raw binary window · RBF-Hamming MMD witness,raw_binary_window,rbf_hamming_mmd_witness,3200,1600,800,2000,"{""gamma"": 4.749616654800482, ""median_hamming_fraction"": 0.1459375, ""prototypes_per_class"": 128, ""seed"": 583500}",0.0858791029314,0.194085780066,0.488661292009,8.53195174294e-06,0.4848625,0.535,0.50602,0.502,870,130,866,134,0.87,0.134
temporal,0.5,full_observation::exact_llr_ceiling,Exact full-HMM window LLR ceiling,full_observation,exact_llr_ceiling,3200,1600,800,2000,"{""batch_windows"": 64, ""full_hmm"": true, ""known_alternative"": 0.5, ""known_null"": 0.0}",0,0.326657748083,0.743235616945,0.170171477787,0.97139375,0.91625,0.964873,0.9005,907,93,106,894,0.907,0.894
temporal,0.75,dfr_count_sequence::linear_logistic,DFR/count sequence · Linear logistic,dfr_count_sequence,linear_logistic,128,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.0064854369266,0.000596613972448,0.000847463961691,-1.10535482656,0.4830875,0.51125,0.517277,0.507,59,941,45,955,0.059,0.955
temporal,0.75,dfr_count_sequence::rbf_svm,DFR/count sequence · RBF SVM,dfr_count_sequence,rbf_svm,128,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0571383769857,0.0538974329829,0.125176414032,-0.503023153409,0.47635625,0.5125,0.523567,0.5105,144,856,123,877,0.144,0.877
temporal,0.75,dfr_count_sequence::positive_part_mean_direction,DFR/count sequence · Positive-part mean direction,dfr_count_sequence,positive_part_mean_direction,128,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 59, ""simplex_operator_interpretation"": false}",0.000217827036977,4.48849750683e-05,9.61079495028e-05,0.0711965811966,0.4848625,0.50875,0.5024565,0.4955,149,851,158,842,0.149,0.842
temporal,0.75,dfr_count_sequence::regularized_hotelling,DFR/count sequence · Regularized Hotelling,dfr_count_sequence,regularized_hotelling,128,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 0.00012250629937812893, ""ridge_fraction"": 0.05}",0.00128371000756,4.5140972361e-05,9.4476970844e-05,-0.15530949297,0.48289375,0.50875,0.51728,0.507,58,942,44,956,0.058,0.956
temporal,0.75,detector_first_moment::linear_logistic,Detector first moment · Linear logistic,detector_first_moment,linear_logistic,25,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.0015590370167,0.000222314032726,0.000245476025157,0.718762889821,0.46711875,0.5,0.503423,0.501,1000,0,998,2,1,0.002
temporal,0.75,detector_first_moment::rbf_svm,Detector first moment · RBF SVM,detector_first_moment,rbf_svm,25,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0354972929927,0.0413109209621,0.0887778589968,1.09119243973,0.46745,0.5075,0.498091,0.503,989,11,983,17,0.989,0.017
