regime,time,score,contrast,e_value,anytime_p_value,alarm,witness_rank
null,135,-0.003991757818342365,0.017404287616053286,0.9761896315765226,1.0,False,1
null,136,-0.003019311012591494,0.01749656699034956,0.9755429068847706,1.0,False,1
null,137,-0.005571149104328543,0.01763757532087235,0.9743515208601317,1.0,False,1
null,138,-0.005039538732845739,0.016101588411084375,0.9732770697556034,1.0,False,1
null,139,-0.015025898870607637,0.014437111542649352,0.9700822063647364,1.0,False,1
null,140,-0.0073651489466043385,0.014192427410291659,0.9685290066535353,1.0,False,1
null,141,0.014433027631583675,0.012587571900516912,0.9715606007456157,1.0,False,1
null,142,0.010558137556480648,0.014162232028807904,0.9737957833298465,1.0,False,1
null,143,0.007822935993323621,0.014621633151709657,0.9754615113042344,1.0,False,1
null,144,0.03986161340852787,0.015138336766470237,0.9839857604469341,1.0,False,1
null,145,-0.01527852887022392,0.017056817106637725,0.9806471077880086,1.0,False,1
null,146,-0.01597832773511887,0.01605966043451424,0.9771848415093353,1.0,False,1
null,147,-0.009418528585325062,0.01574197884667526,0.9751618538234579,1.0,False,1
null,148,-0.0034935741674965853,0.015973902081694476,0.974415327866103,1.0,False,1
null,149,-0.012082721789797787,0.015304404145219594,0.9718382866810109,1.0,False,1
null,150,0.014994502425265399,0.013501838247967322,0.9750153210164418,1.0,False,1
null,151,0.014414104456841131,0.013320354134147649,0.978094458519387,1.0,False,1
null,152,-0.014178182507580725,0.01484231958961172,0.9750417455277117,1.0,False,1
null,153,0.02088824068853236,0.01395908595101733,0.9795043478697162,1.0,False,1
null,154,-0.002377940114612731,0.015069961615773217,0.9789904998802597,1.0,False,1
null,155,0.010208619834341043,0.015622692031420153,0.9811936538764016,1.0,False,1
null,156,-0.008525289931489849,0.015179337418461312,0.979343424528956,1.0,False,1
null,157,0.0051913605542045355,0.01482608023284007,0.9804648432885261,1.0,False,1
null,158,-0.007428192179748078,0.015715380217305768,0.9788556165529873,1.0,False,1
null,159,-0.01384065692302991,0.014521567739134867,0.97586937422518,1.0,False,1
null,160,0.017553252076302872,0.013592059201794736,0.9796279632911172,1.0,False,1
