observable,displacement_index,delta_row,delta_column,start_row,start_column,first_detector,second_detector,state,q,copies,method,exact_expectation,mean_estimate,bias,rmse,theoretical_estimator_standard_error
ZZ_d0_r2_c1,0,0,1,2,1,11,12,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7064208984375,-0.023255981562499854,0.37504287720040885,0.3637386521166645
ZZ_d0_r2_c2,0,0,1,2,2,12,13,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.70587158203125,-0.023805297968749847,0.36601337079080554,0.3637386521166645
ZZ_d0_r2_c3,0,0,1,2,3,13,14,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7086181640625,-0.021058715937499924,0.3635900627800943,0.3637386521166645
ZZ_d0_r2_c4,0,0,1,2,4,14,10,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.740478515625,0.010801635625000031,0.3973052814123859,0.3637386521166645
ZZ_d0_r3_c0,0,0,1,3,0,15,16,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.75201416015625,0.022337280156250118,0.3803255691378516,0.3637386521166645
ZZ_d0_r3_c1,0,0,1,3,1,16,17,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.775634765625,0.04595788562500026,0.3820240398507891,0.3637386521166645
ZZ_d0_r3_c2,0,0,1,3,2,17,18,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.72344970703125,-0.006227172968749972,0.3578945031851535,0.3637386521166645
ZZ_d0_r3_c3,0,0,1,3,3,18,19,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.70587158203125,-0.023805297968749868,0.3634719311398806,0.3637386521166645
ZZ_d0_r3_c4,0,0,1,3,4,19,15,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7174072265625,-0.012269653437499905,0.3584502775314784,0.3637386521166645
ZZ_d0_r4_c0,0,0,1,4,0,20,21,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.70806884765625,-0.021608032343749937,0.3590337823589747,0.3637386521166645
ZZ_d0_r4_c1,0,0,1,4,1,21,22,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.77947998046875,0.049803100468750194,0.3722286166218524,0.3637386521166645
ZZ_d0_r4_c2,0,0,1,4,2,22,23,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.753662109375,0.023985229375000146,0.38071809037445353,0.3637386521166645
ZZ_d0_r4_c3,0,0,1,4,3,23,24,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.71356201171875,-0.01611486828124977,0.3725724560404211,0.3637386521166645
ZZ_d0_r4_c4,0,0,1,4,4,24,20,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.692138671875,-0.03753820812499963,0.3562205035931639,0.3637386521166645
ZZ_d1_r0_c0,1,1,0,0,0,0,5,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.75421142578125,0.024534545781250264,0.35820225481081786,0.3637386521166645
ZZ_d1_r0_c1,1,1,0,0,1,1,6,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.73388671875,0.0042098387500000365,0.3693476778078377,0.3637386521166645
ZZ_d1_r0_c2,1,1,0,0,2,2,7,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7591552734375,0.029478393437500194,0.3522877940705096,0.3637386521166645
ZZ_d1_r0_c3,1,1,0,0,3,3,8,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.731689453125,0.002012573125000045,0.3892562502728199,0.3637386521166645
ZZ_d1_r0_c4,1,1,0,0,4,4,9,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.731689453125,0.0020125731250000625,0.36296699264734295,0.3637386521166645
