regime,stream,alarm,alarm_time,delay,max_e_value
null,246,False,,,2.1469538588184256
null,247,False,,,1.6650502633226385
null,248,False,,,1.545869713362985
null,249,False,,,1.0
null,250,False,,,1.0
null,251,False,,,1.1008117916611462
null,252,False,,,1.2755348422074764
null,253,False,,,2.2517736677605695
null,254,False,,,2.034024467115958
null,255,False,,,1.1971314108427682
null,256,False,,,1.4581335686169725
null,257,False,,,1.1971314108427682
null,258,False,,,1.0
null,259,False,,,1.0521129176270003
null,260,False,,,1.0521129176270003
null,261,False,,,1.0
null,262,False,,,1.0
null,263,False,,,1.432919218152387
null,264,False,,,1.4017027194140135
null,265,False,,,1.3592451217099353
null,266,False,,,2.6403799744773
null,267,False,,,1.0
null,268,False,,,1.0975200451536018
null,269,False,,,2.020675366771783
null,270,False,,,1.0
null,271,False,,,2.3270339418415165
null,272,False,,,1.9398461575451638
null,273,False,,,1.1163707382803867
null,274,False,,,1.4126890113853396
null,275,False,,,1.0
null,276,False,,,9.152192654121585
null,277,False,,,1.081015596685419
null,278,False,,,1.1058958632298708
null,279,False,,,1.1175968950962658
null,280,False,,,1.545869713362985
null,281,False,,,1.0
null,282,False,,,1.6534977052236428
null,283,False,,,1.2181304151923802
null,284,False,,,1.1971314108427682
null,285,False,,,1.0
null,286,False,,,4.576341739058875
null,287,False,,,1.6682764743473162
null,288,False,,,3.7006776632494023
null,289,False,,,1.0521129176270003
null,290,False,,,1.1503668723742193
null,291,False,,,3.0183538480039425
null,292,False,,,1.0
null,293,False,,,3.1701638975331288
null,294,False,,,1.4988889527942462
null,295,False,,,5.792775363730952
null,296,False,,,1.1251261348079673
null,297,False,,,1.1597954217173643
null,298,False,,,1.2927930641026535
null,299,False,,,1.1441257578748916
null,300,False,,,4.546367650497768
null,301,False,,,1.167244386161393
null,302,False,,,1.545869713362985
null,303,False,,,1.0651938884546899
null,304,False,,,2.556838230791344
null,305,False,,,1.0539002107814301
null,306,False,,,1.3576543043864913
null,307,False,,,1.0521129176270003
null,308,False,,,2.160760930884633
null,309,False,,,1.0
null,310,False,,,1.9860644363727724
null,311,False,,,6.149935636988818
null,312,False,,,1.0
null,313,False,,,1.226379666911262
null,314,False,,,1.4104104672355264
null,315,False,,,1.0
null,316,False,,,1.4743785326574903
null,317,False,,,2.6003420302199203
null,318,False,,,1.2927930641026535
null,319,False,,,1.0
null,320,False,,,1.0
null,321,False,,,1.1441257578748916
null,322,False,,,1.4077094463170865
null,323,False,,,1.0186773888735516
null,324,False,,,1.283898693015803
null,325,False,,,1.1334338688595615
null,326,False,,,1.1175968950962658
null,327,False,,,1.2031756855704525
null,328,False,,,1.9130291640494455
null,329,False,,,1.0982542099093846
null,330,False,,,1.0521129176270003
null,331,False,,,1.545869713362985
null,332,False,,,11.28163624198655
null,333,False,,,1.161307284361332
null,334,False,,,2.160760930884633
null,335,False,,,1.3557523079424292
null,336,False,,,2.1890875912557686
null,337,False,,,1.3347825238782096
null,338,False,,,1.0527178041328324
null,339,False,,,1.0481709559604315
null,340,False,,,16.051221081068633
null,341,False,,,1.106025787993412
null,342,False,,,1.8799111037305576
null,343,False,,,1.1971314108427682
null,344,False,,,9.2085147625297
null,345,False,,,1.0
null,346,False,,,1.0
null,347,False,,,1.474385587173249
null,348,False,,,1.914798500065746
null,349,False,,,1.2833318343748739
null,350,False,,,1.1778680100611052
null,351,False,,,1.0585693052832976
null,352,False,,,1.9235894709677526
null,353,False,,,1.1971314108427682
null,354,False,,,1.0105262721966088
null,355,False,,,2.1769909427606295
null,356,False,,,1.0
null,357,False,,,1.0
null,358,False,,,1.0
null,359,False,,,1.0521129176270003
null,360,False,,,2.6130368619490993
null,361,False,,,1.0
null,362,False,,,1.0419244636441805
null,363,False,,,1.0
null,364,False,,,2.535540938795818
null,365,False,,,1.545869713362985
null,366,False,,,2.3276311103471916
null,367,False,,,2.160760930884633
null,368,False,,,1.4410603591313755
null,369,False,,,2.0253201592896186
null,370,False,,,9.958976271067009
null,371,False,,,2.892310434169195
null,372,False,,,1.1175968950962658
null,373,False,,,1.1175968950962658
null,374,False,,,56.38242411138099
null,375,False,,,1.3613765138778524
null,376,False,,,1.6749341317143944
null,377,False,,,3.6085935110303162
null,378,False,,,1.1175968950962658
null,379,False,,,2.459818646281267
null,380,False,,,1.3400757736517048
null,381,False,,,1.407670535367185
null,382,False,,,2.3063184271042645
null,383,False,,,2.160760930884633
null,384,False,,,1.3248678466887402
null,385,False,,,1.2925690997212245
null,386,False,,,1.2398278656278006
null,387,False,,,1.545869713362985
null,388,False,,,3.284586456691182
null,389,False,,,1.1971314108427682
null,390,False,,,4.38253702005693
null,391,False,,,1.4194673694648958
null,392,False,,,1.0521129176270003
null,393,False,,,2.038624546535918
null,394,False,,,1.1251261348079673
null,395,False,,,1.4394820971946642
null,396,False,,,1.233318554725042
